feature,coefficient,odds_ratio
Contract_Two year,-1.339867505190078,0.2618803640708489
InternetService_Fiber optic,1.2746473404200171,3.577439569278614
Contract_One year,-0.6891511909100665,0.5020019921308841
StreamingTV_Yes,0.4122881665597221,1.510269582818334
StreamingMovies_Yes,0.4092587131300341,1.5057012147739144
MultipleLines_Yes,0.3828508293849864,1.466459261121981
PaymentMethod_Electronic check,0.38176050525024646,1.4648612165485642
PaperlessBilling_Yes,0.3720070610375885,1.45064322430333
OnlineSecurity_Yes,-0.33115482230281956,0.7180939834696277
TechSupport_Yes,-0.27953549987235665,0.7561348846468174
MultipleLines_No phone service,0.27950621303543866,1.322476629363573
Dependents_Yes,-0.2266865250542737,0.7971706361485326
TechSupport_No internet service,-0.18598172856861164,0.8302887654075493
StreamingMovies_No internet service,-0.18598172856861164,0.8302887654075493
DeviceProtection_No internet service,-0.18598172856861164,0.8302887654075493
StreamingTV_No internet service,-0.18598172856861164,0.8302887654075493
OnlineBackup_No internet service,-0.18598172856861164,0.8302887654075493
OnlineSecurity_No internet service,-0.18598172856861164,0.8302887654075493
InternetService_No,-0.18598172856861164,0.8302887654075493
SeniorCitizen,0.1461682824961532,1.1573909403000981
PhoneService_Yes,0.09426607304311627,1.098852081941458
OnlineBackup_Yes,-0.0825420777367792,0.9207726930106526
PaymentMethod_Mailed check,0.06577210609323761,1.0679833025435186
tenure,-0.05328327228715321,0.9481114007539975
DeviceProtection_Yes,0.05151026989444935,1.0528599989976701
PaymentMethod_Credit card (automatic),-0.03038981456652308,0.9700673134661518
Partner_Yes,0.024229131052417665,1.0245250414993479
gender_Male,0.02195550238273942,1.0221982980697957
MonthlyCharges,-0.019703758342808114,0.9804890920010467
TotalCharges,0.0002571080435534006,1.0002571410986594
